OBJECTID,LABEL,ACRES,GlobalID,SHAPESTArea,SHAPESTLength
17493,N-2-2,2.38289039,{4AC1ACD6-E5FE-472B-BF63-D227C2F1C16F},103798.290344238,1594.64549481792
17494,N-2-2,2.44822798,{910A692E-1271-456A-971B-83FD1F70D54B},106644.384033203,1569.38514250724
17495,N-2-2,1.59350984,{FC4983F0-88EF-47D9-82D2-F259467DF406},69413.0108032227,1349.27071829272
17496,N-2-2,0.68992965,{88CD9F66-C3BD-4197-A0FC-EC8F67D30DF6},30053.2153930664,721.195407345616
17497,N-2-2,0.59415558,{83D93BB5-BD6D-4B3E-9FBA-52866427D706},25881.3135986328,747.857008132028
17498,N-2-2,3.88273389,{115CFB0B-295F-44B8-865E-D6F4162B505E},169131.211853027,1692.67953184434
17499,N-2-2,2.87840446,{6C28131B-B111-42CC-94A8-38144974ED47},125382.79675293,1778.33175830102
17500,N-2-2,3.4640535,{BE478C20-A5F3-429E-8B55-4FF7AB29CC54},150893.567077637,1651.49724059578
17501,N-2-2,0.8303749,{CD2A5615-8945-4E9C-9F67-25A5453BE47F},36170.9858398438,862.632482213897
17502,N-2-2,1.90737551,{E6598DA7-C514-4861-95EB-AC6493181403},83084.9448852539,1423.90336296921
17503,N-2-2,1.99248691,{57F0426A-18E8-4709-A090-86537A60E6D9},86792.3825683594,1639.08784382005
17504,N-2-2,2.42182936,{40F1C45A-CB17-415D-B6F3-53209A4952E6},105494.464660645,1903.77573567566
17505,N-2-2,2.84271507,{56A88DE4-1B5A-47A3-9D1C-8A192D4D4EDB},123828.172851562,1697.21108719747
17506,N-2-2,4.46182093,{2944703D-BEDD-45F2-9BE1-AF9AE62266EA},194356.142089844,2903.79328571782
17507,N-2-2,3.54979155,{A360DCD5-3463-4C01-B46A-1D0DF21E502C},154628.301086426,1832.53553781432
17508,N-2-2,1.35132183,{1379FB00-938A-4DEC-ABE8-F8BE9AF39AC0},58863.3431396484,1707.86937850479
17509,N-2-2,0.43422346,{74590C84-012A-4593-9542-EA2C065E005A},18914.6979370117,824.728327930555
17510,N-2-2,0.76150456,{4C8F613B-35B5-47BE-A1D3-3DA3CC52E412},33171.0061035156,810.36015800538
17511,N-2-2,0.76769547,{2D2BA5A4-812F-478B-86E4-29645460D561},33440.6806640625,772.816676233998
17512,N-2-2,1.04047321,{29B296FA-3DB3-4AE4-942D-11D80BD34CB1},45322.8316650391,1138.83172809293
17513,N-2-2,1.19225729,{F393E767-4F23-4962-8D68-ABEB4300C172},51934.5199584961,934.04558699471
17514,N-2-2,4.51006815,{60031379-1AB1-4A01-88F6-FC652E392246},196457.782714844,2843.86179210272
17515,N-2-2,3.33804347,{D9F80286-CDC3-4325-9FD2-01F66B0E1BC0},145404.59161377,1642.59356869012
17516,N-2-2,4.93589583,{86E38C3B-A8C4-43BA-8636-60A5373431B5},215006.762451172,1869.68706570085
17517,N-2-2,4.13980605,{8A3B0754-D538-4C17-A9AC-67E86467047A},180329.230285645,1701.9916145742
17518,N-2-2,1.72906844,{2ED31E45-03C6-4E9A-AC2D-FBD6CB48A0DE},75317.9201049805,1315.53780331177
17519,N-2-2,6.19842761,{FF67E271-F657-4FEA-9163-DA6F0D709CFA},270002.426696777,2399.56780237209
17520,N-2-2,6.37571281,{9E520C72-12AE-410E-8A33-72503A514B5D},277724.938903809,2445.2980046071
17521,N-2-2,6.48467826,{E00DBDF7-5D5B-4D09-93F5-B50569C6D07B},282471.45513916,2484.37318119703
